gene,avg train loss,min train loss,avg val loss,min val loss
CREBL2,21.44916229248047,20.1777286529541,97.66663093566895,16.337953567504883
NHLH1,16.783520221710205,16.118675231933594,19.83739686012268,14.784348487854004
CBY1,23.0215051651001,17.653608322143555,47.97888107299805,17.39175796508789
BLOC1S1,23.302719497680663,17.806692123413086,101.97052154541015,51.90800476074219
EGR1,16.13940315246582,15.130212783813477,19.034673309326173,18.567459106445312
PELI1,21.88677151997884,19.341562271118164,320.4132415453593,14.637850761413574
HOXA2,24.82105040550232,19.869903564453125,80.47205531597137,12.767526626586914
PKIG,23.402674293518068,19.526655197143555,93.84391975402832,15.258562088012695
CUL1,20.22582130432129,15.403642654418945,17.85249319076538,15.66854476928711
MBD5,16.74532127380371,16.226728439331055,25.167187213897705,17.994384765625
POLE3,15.179698276519776,14.535188674926758,16.913422679901124,13.415447235107422
RARB,16.19285068511963,15.451781272888184,20.520614242553712,18.202224731445312
SMARCD3,25.791227531433105,20.93975067138672,80.77291507720948,17.500442504882812
AEBP2,15.685503244400024,15.192184448242188,39.53217339515686,18.77937126159668
SIRT5,16.01509428024292,15.690911293029785,33.63423824310303,17.835660934448242
TRADD,15.35464038848877,14.524105072021484,24.52210388183594,22.288869857788086
RELA,23.434288569859095,18.73723030090332,98.50678389413017,22.177616119384766
SUV39H2,26.38034947713216,18.400035858154297,78.28385088178847,14.668238639831543
ZNF618,16.17097282409668,15.581302642822266,25.8466854095459,22.713314056396484
CSDC2,16.299390411376955,15.571133613586426,23.595674324035645,19.286712646484375
FBXW11,16.71617062886556,16.178089141845703,32.366222858428955,13.493754386901855
TOX,23.898503494262695,19.58307647705078,68.57619762420654,14.327980995178223
CHD4,15.517208218574524,15.268111228942871,28.601649045944214,19.807228088378906
TAF9B,20.748188018798828,18.49643325805664,525.8699523925782,137.38201904296875
NFYC,20.16178455352783,16.19506072998047,17.297088718414308,15.113656044006348
ZNFX1,16.90640640258789,16.435693740844727,21.262322425842285,15.434561729431152
THRB,25.463300704956055,19.421213150024414,227.10335649762834,12.80527114868164
ESRRG,21.33593330383301,16.448183059692383,53.918378067016604,13.087834358215332
RNF125,25.48406147956848,19.941768646240234,119.40682196617126,20.916160583496094
DMTF1,16.061758041381836,15.476613998413086,18.023795127868652,13.621662139892578
FMNL2,23.134270477294923,19.028053283691406,100.1690830230713,18.486413955688477
GFI1,17.31164836883545,16.283920288085938,20.204405148824055,16.37407684326172
PIK3R2,17.65164794921875,17.248720169067383,17.798053169250487,15.464919090270996
E2F3,24.762232144673664,17.918188095092773,81.60373306274414,19.007797241210938
GTF2H3,16.875573294503347,16.071319580078125,22.21539306640625,17.04206657409668
TBX10,24.18292808532715,19.17522621154785,91.51652526855469,16.987552642822266
ZNF598,23.964486122131348,16.921112060546875,25.1121244430542,15.57526969909668
ZNF142,25.312693786621093,17.66335678100586,40.67455558776855,13.021775245666504
CPEB1,15.896688461303711,15.316856384277344,74.70275497436523,19.967565536499023
MAD2L2,26.58466167449951,21.965513229370117,64.08009061813354,12.458460807800293
EGLN3,28.855428314208986,17.404415130615234,404.84147453308105,16.045757293701172
SETD2,23.328612518310546,18.8824462890625,101.49564552307129,21.555217742919922
SORBS3,16.668250274658202,16.09966278076172,20.625767517089844,14.072507858276367
MRGBP,23.83094902038574,19.689064025878906,202.51752319335938,25.870834350585938
MYBL1,25.612335840861004,17.585731506347656,88.22232373555501,14.780233383178711
TFEC,22.895191616482204,17.081113815307617,34.703772650824654,14.207435607910156
ELF3,24.229991912841797,22.32249641418457,66.8820292154948,38.901283264160156
LBH,999,999,999,999
CERS3,15.597471475601196,14.744327545166016,25.869197368621826,24.41275978088379
EMSY,21.889492797851563,17.547107696533203,19.51182107925415,13.728824615478516
DHX57,22.822917175292968,19.901172637939453,114.16517295837403,23.330881118774414
ACTL6A,25.10051441192627,20.866655349731445,52.810133171081546,13.596454620361328
