gene,avg train loss,min train loss,avg val loss,min val loss
CSDC2,10.544804763793945,8.025047302246094,20.987280082702636,15.177114486694336
TRIM13,9.578000354766846,8.041414260864258,23.185507011413574,17.866453170776367
WT1,8.505229997634888,6.7931647300720215,28.999214363098144,24.604890823364258
NEDD4L,9.305372476577759,7.147380352020264,30.57857713699341,15.63724422454834
CPEB1,8.050152158737182,6.411729335784912,13.107357168197632,7.315025806427002
PRR3,10.440675258636475,8.1940279006958,13.853875827789306,9.822361946105957
ING3,9.768168354034424,7.914484977722168,11.78854284286499,9.509224891662598
MAD2L2,9.403877258300781,6.874020576477051,15.207904434204101,9.5663480758667
ASF1A,12.79106273651123,11.365771293640137,23.936162567138673,19.1234073638916
ANKZF1,8.144682121276855,6.144735813140869,14.097479629516602,9.262763023376465
HTATIP2,9.71113600730896,7.556800365447998,13.307081127166748,10.83056640625
URI1,10.488248014450074,7.923146724700928,11.77422456741333,9.742026329040527
CHD4,8.920804691314697,7.401932239532471,17.351530456542967,11.903556823730469
ZFAND5,11.201195430755615,9.81557846069336,15.358987140655518,12.962141990661621
TCF20,9.624568986892701,7.816226005554199,20.08174819946289,15.266611099243164
CHUK,11.65213975906372,9.709710121154785,18.6596471786499,11.273459434509277
ZBTB32,9.830262279510498,7.3482561111450195,12.026720714569091,7.912199974060059
FUBP3,10.153337621688843,7.7269415855407715,19.083396339416502,14.966733932495117
PPP2R1A,11.449464130401612,9.922652244567871,15.650352954864502,13.466548919677734
RAD51,9.53610963821411,8.035001754760742,10.974720764160157,10.049302101135254
CDKN1B,9.73837194442749,8.29104995727539,15.199801063537597,8.751631736755371
SF3A3,12.195077896118164,9.201955795288086,16.86476535797119,12.537049293518066
SUPT16H,10.815359401702882,8.776083946228027,15.589876747131347,10.151705741882324
POLR3G,11.610698413848876,9.42257308959961,16.514220714569092,11.34152889251709
KLF7,9.833825492858887,8.28453540802002,13.795062732696532,10.07101821899414
PRDX5,10.00500807762146,7.891887187957764,14.576363849639893,11.705182075500488
PPARA,9.974779558181762,7.872430324554443,12.8560133934021,9.33930492401123
ARID5B,10.637440490722657,8.234315872192383,14.819094467163087,11.116033554077148
BRD7,9.02493577003479,6.899791240692139,17.439685535430907,14.875121116638184
MTA2,10.330466842651367,8.845906257629395,18.935101890563963,12.235555648803711
GTF2H5,14.375916957855225,14.002242088317871,14.941995525360108,12.187374114990234
PMF1,8.626617574691773,6.544012546539307,21.52440185546875,10.537158012390137
ICE2,9.83064308166504,7.723000526428223,13.914836406707764,11.139324188232422
ZMAT2,12.365122318267822,9.8969144821167,15.908286666870117,11.998226165771484
ACTN1,6.7380533695220945,5.064816951751709,24.334127616882324,11.361940383911133
NLK,14.005877113342285,11.750998497009277,20.347310924530028,13.613595008850098
DMRT2,8.716860485076904,6.225448131561279,22.9856294631958,19.411375045776367
E2F3,10.854670810699464,9.459090232849121,22.133989524841308,16.002946853637695
CTNNBIP1,12.646452045440673,10.56458568572998,13.584958171844482,10.65107536315918
RC3H1,10.508259677886963,8.783615112304688,14.572134208679199,11.832344055175781
RNF125,11.357104206085205,9.308082580566406,15.742328357696532,11.386697769165039
CFAP20,11.692696380615235,9.011420249938965,20.9692174911499,17.043331146240234
KAT2B,12.44535846710205,10.101445198059082,15.968279170989991,10.497682571411133
TP63,14.41694164276123,14.41694164276123,24.541460037231445,24.541460037231445
DMTF1,10.502493286132813,8.20662784576416,17.152302551269532,10.35695743560791
EXOC2,9.720247888565064,7.987742900848389,30.277190589904784,11.163031578063965
PNRC2,9.636985206604004,7.3924641609191895,15.65208683013916,12.115839958190918
RUVBL1,10.595518636703492,7.741616725921631,11.897400856018066,8.469832420349121
PA2G4,10.956835460662841,9.600276947021484,19.352611541748047,13.358306884765625
CDR2L,9.36572847366333,7.29389762878418,22.40103416442871,16.359790802001953
MAP2K3,9.862421226501464,8.203866004943848,23.380042839050294,12.51580810546875
PIK3R2,9.978387594223022,7.774728298187256,13.978218460083008,11.348526954650879
ASCL3,9.649978542327881,8.075533866882324,16.044974613189698,12.854612350463867
GTF2H3,9.89690866470337,7.888090133666992,11.309254550933838,8.66031265258789
SSH3,10.074728679656982,8.308899879455566,15.244058227539062,11.025693893432617
ZNF598,8.493510150909424,6.242128849029541,15.363802623748779,9.208285331726074
TAF9B,11.20364694595337,9.338573455810547,18.539717197418213,13.710320472717285
RNF8,9.826872873306275,7.309690475463867,21.14454460144043,16.3776912689209
ZNF692,8.265987730026245,6.355893135070801,12.462194728851319,8.054681777954102
RALY,9.348304748535156,7.433995723724365,12.82736873626709,10.82097339630127
PURG,8.9130220413208,7.247140884399414,11.522614574432373,8.076936721801758
ZNF142,7.804659986495972,5.629458904266357,11.531959295272827,7.77360200881958
ZNFX1,9.634489250183105,7.821410179138184,16.107864761352538,10.314799308776855
GFI1,9.23153862953186,7.266435146331787,15.136691856384278,11.95016098022461
NFYC,7.932238388061523,6.166152477264404,14.92066764831543,11.3394193649292
PKIA,14.402899074554444,13.24298095703125,15.169157314300538,10.406539916992188
DIDO1,8.1329776763916,6.071612358093262,11.43634753227234,7.301145553588867
ZC3H14,8.986256074905395,6.7032904624938965,20.360896492004393,18.77524185180664
ELF5,8.923888015747071,7.074646949768066,12.190042686462402,10.925592422485352
MYSM1,10.58781156539917,8.49997615814209,9.578410100936889,6.931750774383545
THRAP3,8.344296503067017,6.467833518981934,10.209718370437622,7.972382545471191
STRAP,8.99437336921692,7.243890285491943,13.020564365386964,10.411163330078125
PRMT6,10.803546524047851,8.264524459838867,24.46936798095703,13.646907806396484
