gene,avg train loss,min train loss,avg val loss,min val loss
ZNF142,13.068688869476318,9.644979476928711,21.6777245203654,14.572412490844727
RELA,10.989549160003662,8.416277885437012,35.96488130092621,7.885036468505859
TRADD,9.918369054794312,7.69440221786499,13.05244846343994,10.74643611907959
GFI1,13.209704113006591,10.2536039352417,21.286991167068482,7.947741985321045
GTF2H3,12.06175937652588,10.404424667358398,15.421599388122559,14.456913948059082
PIK3R2,12.01504829951695,9.728256225585938,18.317611149379186,11.394735336303711
ZNF598,10.51061224937439,7.846493721008301,12.227485418319702,9.539031028747559
MED18,11.074561500549317,8.85982894897461,21.55579843521118,11.455049514770508
RNF125,13.137270259857178,11.088164329528809,16.600057506561278,11.203766822814941
DMTF1,14.018813705444336,13.87110710144043,25.69680118560791,24.407310485839844
POLE3,12.665632438659667,11.061616897583008,17.446382427215575,9.916847229003906
E2F3,12.574638605117798,10.407155990600586,19.069448232650757,17.12007713317871
MBD5,14.113159370422363,13.952621459960938,15.250753211975098,15.032011985778809
CUL1,7.947691345214844,5.897658348083496,11.307665824890137,7.652985572814941
PKIG,11.439231130811903,9.118884086608887,12.86807812584771,11.775472640991211
HOXA2,12.819887733459472,11.161968231201172,19.193741703033446,14.520730018615723
PELI1,11.823831462860108,9.911137580871582,16.418864250183105,12.777753829956055
MAD2L2,11.03572142124176,9.528180122375488,18.212513089179993,15.185768127441406
CPEB1,8.341367530822755,6.649099826812744,17.433047008514404,14.519674301147461
NHLH1,14.155628363291422,13.844038009643555,13.404252529144287,12.670059204101562
ZNFX1,9.66755379570855,7.4043707847595215,21.04479514227973,13.22802448272705
NFYC,9.07377462387085,7.401407718658447,9.993755054473876,8.104093551635742
TAF9B,14.770219039916991,14.497028350830078,19.191238021850587,16.400285720825195
SORBS3,11.645779609680176,8.904586791992188,17.090038299560547,11.60081672668457
CHD4,9.73672596613566,7.733785152435303,21.688028971354168,8.462671279907227
LBH,14.219327517918178,13.880971908569336,15.253874370029994,14.09334945678711
ELF3,13.799665832519532,12.600886344909668,17.000803756713868,14.125396728515625
ACTL6A,12.203267097473145,9.606130599975586,17.4831485748291,12.100936889648438
PKNOX2,14.613868236541748,13.481203079223633,30.85900624593099,16.549964904785156
KLF1,10.711824893951416,9.153221130371094,13.999394607543945,9.377471923828125
CSDC2,11.604483604431152,9.444417953491211,15.179778734842936,11.247014999389648
PPARA,11.001917362213135,8.607805252075195,15.225133419036865,11.538220405578613
TOX,10.899360084533692,8.650350570678711,17.5907262802124,13.102952003479004
SETD2,14.189347902933756,13.741374969482422,15.967951244778103,13.295492172241211
SMARCD3,10.247093009948731,8.26918888092041,17.885356140136718,11.192800521850586
CBY1,12.147396755218505,9.795632362365723,21.94872131347656,19.13125228881836
TLE3,8.092355591910225,6.609853267669678,11.239499773297991,8.414344787597656
EGLN3,12.623069095611573,10.259620666503906,14.75140438079834,11.00529956817627
EGR1,13.068834114074708,11.518345832824707,20.332217025756837,16.744556427001953
CREBL2,12.81895866394043,11.242081642150879,16.929846572875977,14.29977035522461
RARB,13.181404113769531,10.700179100036621,16.51970338821411,11.284646034240723
AEBP2,12.842972373962402,11.449933052062988,13.025865173339843,11.322578430175781
TBX10,11.028316116333007,8.869067192077637,8.859522104263306,6.271944046020508
BLOC1S1,11.331465403238932,9.221908569335938,15.985254605611166,10.518547058105469
SIRT5,7.334014749526977,5.500330448150635,8.887768983840942,6.155951976776123
FMNL2,13.10011920928955,10.577096939086914,17.48016490936279,9.621110916137695
CDR2,12.07368049621582,9.590962409973145,15.268841552734376,9.857383728027344
DHX57,9.930426692962646,8.20474910736084,16.92916383743286,11.304224014282227
EMSY,12.489706754684448,10.531561851501465,105.52929162979126,10.64317512512207
CERS3,11.686621475219727,9.771556854248047,13.3391902923584,8.813684463500977
TFEC,10.370302472795759,8.562665939331055,14.092674391610283,11.680887222290039
MYBL1,10.980754443577357,8.594244003295898,13.829171861921038,10.532894134521484
ZNF618,12.413217353820801,9.749579429626465,19.444364738464355,12.11683177947998
ESRRG,9.838988018035888,8.168400764465332,11.71864595413208,8.088851928710938
SUV39H2,10.290653133392334,8.282297134399414,13.074726486206055,9.637889862060547
MRGBP,13.312248229980469,11.735763549804688,23.113607025146486,17.463483810424805
FBXW11,9.580241823196411,7.7895283699035645,16.11654462814331,8.48349666595459
THRB,12.115601062774658,10.186517715454102,12.732429504394531,10.50390338897705
