gene,avg train loss,min train loss,avg val loss,min val loss
MAD2L2,15.82242727279663,15.414515495300293,18.75227379798889,14.999760627746582
POLE3,13.182385921478271,12.47425365447998,16.347121810913087,16.081274032592773
MBD5,14.664552307128906,14.312517166137695,25.941747665405273,22.833911895751953
CUL1,14.790210342407226,14.47253704071045,22.076771545410157,18.474428176879883
CPEB1,14.574267268180847,14.28019905090332,24.581600666046143,16.343299865722656
TRADD,15.103313446044922,14.564286231994629,20.382532119750977,15.014846801757812
RNF125,16.053064346313477,15.349980354309082,20.097183068593342,14.661738395690918
DMTF1,15.229100942611694,14.703144073486328,21.767356872558594,20.523178100585938
NHLH1,14.795480569203695,14.515748977661133,20.367568969726562,14.443414688110352
ZNF618,15.518985748291016,15.518985748291016,14.207550048828125,14.207550048828125
LBH,15.147696685791015,14.613015174865723,18.903187942504882,14.029329299926758
FBXW11,15.513261032104491,15.033371925354004,25.044438934326173,21.322528839111328
PIK3R2,16.041271448135376,15.732091903686523,24.386367321014404,20.44356918334961
GTF2H3,15.411230223519462,14.896004676818848,17.40505736214774,14.285676002502441
TAF9B,15.267717361450195,14.683659553527832,25.0251339503697,22.198122024536133
ZNFX1,15.053695519765219,14.817276954650879,24.087308247884113,16.094757080078125
GFI1,15.925609350204468,14.727372169494629,18.18299961090088,15.412677764892578
ACTL6A,15.012454986572266,14.510411262512207,25.2365665435791,23.134801864624023
SORBS3,15.995997905731201,15.68454647064209,21.59327268600464,20.299577713012695
CSDC2,15.63792724609375,14.731640815734863,21.799991035461424,14.412138938903809
CHD4,14.78821849822998,14.499560356140137,18.59375747044881,15.8985013961792
AEBP2,14.978369235992432,14.565011024475098,28.194383144378662,26.312829971313477
SIRT5,14.594368171691894,14.225730895996094,23.930626678466798,20.49125862121582
EGR1,14.4176025390625,13.809921264648438,24.896328926086426,23.97216033935547
CERS3,15.365155458450317,14.59563159942627,25.226816654205322,22.795917510986328
ESRRG,14.951084327697753,14.663731575012207,23.775610733032227,22.323020935058594
RARB,14.74701714515686,13.89594841003418,27.898279190063477,23.303701400756836
