genus,median max lifespan,MAD,outlying species,outlying max lifespan
Cavia,6.3,0.2999999999999998,Cavia_porcellus,12.0
Equus,36.0,2.799999999999997,Equus_asinus,47.0
Capra,21.0,0.1999999999999993,Capra_sibirica,22.3
Pteropus,20.6,2.1000000000000014,Pteropus_giganteus,44.0
