order,family,genus,species,max lifespan
Rodentia,Sciuridae,Sciurus,Sciurus_vulgaris,14.8
Rodentia,Muridae,Mus,Mus_caroli,Unknown
Rodentia,Muridae,Arvicanthis,Arvicanthis_niloticus,6.7
Rodentia,,,Acomys_dimidiatus,Unknown
Rodentia,Heteromyidae,Dipodomys,Dipodomys_ordii,9.9
Rodentia,,,Rhizomys_pruinosus,Unknown
Rodentia,Cricetidae,Peromyscus,Peromyscus_crinitus,7.7
Rodentia,,,Grammomys_surdaster,Unknown
Rodentia,Myocastoridae,Myocastor,Myocastor_coypus,19.0
Rodentia,Cricetidae,Peromyscus,Peromyscus_leucopus,3.0
Rodentia,Sciuridae,Xerus,Xerus_inauris,11.5
Rodentia,Cricetidae,Microtus,Microtus_oeconomus,2.0
Rodentia,Aplodontiidae,Aplodontia,Aplodontia_rufa,Unknown
Xenarthra,Dasypodidae,Tolypeutes,Tolypeutes_matacus,36.8
Xenarthra,Myrmecophagidae,Tamandua,Tamandua_tetradactyla,19.0
Xenarthra,Dasypodidae,Dasypus,Dasypus_novemcinctus,22.3
Xenarthra,Megalonychidae,Choloepus,Choloepus_hoffmanni,41.0
Xenarthra,Megalonychidae,Choloepus,Choloepus_didactylus,36.8
Xenarthra,Myrmecophagidae,Myrmecophaga,Myrmecophaga_tridactyla,31.0
Scandentia,Tupaiidae,Tupaia,Tupaia_belangeri,11.1
Scandentia,,,Tupaia_chinensis,Unknown
Carnivora,Ursidae,Ursus,Ursus_americanus,34.0
Carnivora,Felidae,Panthera,Panthera_onca,28.0
Carnivora,Felidae,Panthera,Panthera_tigris,26.3
Carnivora,Felidae,Prionailurus,Prionailurus_bengalensis,17.0
Carnivora,Mustelidae,Taxidea,Taxidea_taxus,25.0
Carnivora,Felidae,Puma,Puma_concolor,27.0
Carnivora,Phocidae,Phoca,Phoca_vitulina,47.6
Carnivora,Felidae,Neofelis,Neofelis_nebulosa,19.8
Carnivora,Canidae,Lycaon,Lycaon_pictus,17.0
Carnivora,Felidae,Felis,Felis_nigripes,15.6
Carnivora,Felidae,Lynx,Lynx_canadensis,26.8
Carnivora,,,Neomonachus_schauinslandi,Unknown
Carnivora,Canidae,Vulpes,Vulpes_vulpes,21.3
Carnivora,Hyaenidae,Crocuta,Crocuta_crocuta,41.1
Carnivora,Mustelidae,Lutra,Lutra_lutra,18.2
Carnivora,Mustelidae,Neovison,Neovison_vison,11.4
Carnivora,Odobenidae,Odobenus,Odobenus_rosmarus,40.0
Carnivora,Phocidae,Mirounga,Mirounga_angustirostris,18.0
Carnivora,Felidae,Panthera,Panthera_pardus,27.3
Carnivora,Felidae,Puma,Puma_yagouaroundi,18.6
Carnivora,Canidae,Canis,Canis_lupus,20.6
Carnivora,Felidae,Lynx,Lynx_pardinus,13.0
Carnivora,Otariidae,Callorhinus,Callorhinus_ursinus,26.0
Carnivora,Mustelidae,Aonyx,Aonyx_cinereus,23.0
Carnivora,Mustelidae,Gulo,Gulo_gulo,19.5
Carnivora,Mustelidae,Mellivora,Mellivora_capensis,31.3
Carnivora,Mustelidae,Mustela,Mustela_erminea,12.5
Carnivora,Otariidae,Eumetopias,Eumetopias_jubatus,32.8
Carnivora,Procyonidae,Nasua,Nasua_narica,26.4
Carnivora,Ailuridae,Ailurus,Ailurus_fulgens,19.0
Carnivora,Mustelidae,Martes,Martes_zibellina,18.4
Carnivora,Phocidae,Erignathus,Erignathus_barbatus,31.0
Carnivora,Mustelidae,Mustela,Mustela_putorius,11.1
Carnivora,Canidae,Vulpes,Vulpes_lagopus,16.3
Carnivora,Phocidae,Leptonychotes,Leptonychotes_weddellii,Unknown
Carnivora,Phocidae,Mirounga,Mirounga_leonina,20.0
Carnivora,Phocidae,Halichoerus,Halichoerus_grypus,42.9
Carnivora,Mustelidae,Lontra,Lontra_canadensis,27.0
Carnivora,Mustelidae,Enhydra,Enhydra_lutris,27.0
Carnivora,Otariidae,Zalophus,Zalophus_californianus,35.7
Carnivora,Mustelidae,Pteronura,Pteronura_brasiliensis,17.3
Carnivora,Procyonidae,Procyon,Procyon_lotor,21.0
Carnivora,Herpestidae,Helogale,Helogale_parvula,20.0
Carnivora,Ursidae,Ursus,Ursus_thibetanus,39.2
Carnivora,Ursidae,Ailuropoda,Ailuropoda_melanoleuca,36.8
Carnivora,Otariidae,Arctocephalus,Arctocephalus_gazella,25.0
Carnivora,Phocidae,Phoca,Phoca_largha,35.0
Carnivora,Felidae,Acinonyx,Acinonyx_jubatus,20.5
Carnivora,Hyaenidae,Hyaena,Hyaena_hyaena,25.0
Carnivora,Ursidae,Ursus,Ursus_maritimus,43.8
Carnivora,Canidae,Chrysocyon,Chrysocyon_brachyurus,16.8
Carnivora,Herpestidae,Mungos,Mungos_mungo,17.4
Carnivora,Herpestidae,Suricata,Suricata_suricatta,20.6
Carnivora,Felidae,Panthera,Panthera_leo,28.0
Carnivora,Felidae,Felis,Felis_catus,30.0
Carnivora,Viverridae,Paradoxurus,Paradoxurus_hermaphroditus,24.5
Carnivora,Eupleridae,Cryptoprocta,Cryptoprocta_ferox,23.1
Carnivora,,,Spilogale_gracilis,Unknown
Carnivora,Procyonidae,Bassariscus,Bassariscus_sumichrasti,24.0
Carnivora,Ursidae,Ursus,Ursus_arctos,40.0
Carnivora,Procyonidae,Potos,Potos_flavus,38.4
Carnivora,Ursidae,Helarctos,Helarctos_malayanus,35.9
Carnivora,,,Panthera_uncia,Unknown
Carnivora,Procyonidae,Bassariscus,Bassariscus_astutus,19.0
Primates,Cercopithecidae,Rhinopithecus,Rhinopithecus_bieti,Unknown
Primates,Lemuridae,Lemur,Lemur_catta,37.3
Primates,Hominidae,Pan,Pan_troglodytes,59.0
Primates,Cercopithecidae,Mandrillus,Mandrillus_sphinx,40.0
Primates,Pitheciidae,Pithecia,Pithecia_pithecia,36.0
Primates,Cebidae,Saimiri,Saimiri_boliviensis,30.3
Primates,Lorisidae,Nycticebus,Nycticebus_coucang,25.8
Primates,Callitrichidae,Callithrix,Callithrix_jacchus,22.8
Primates,Hominidae,Gorilla,Gorilla_gorilla,60.1
Primates,,,Cercocebus_atys,Unknown
Primates,Cercopithecidae,Allenopithecus,Allenopithecus_nigroviridis,27.0
Primates,Pitheciidae,Plecturocebus,Plecturocebus_donacophilus,25.0
Primates,,,Aotus_nancymaae,Unknown
Primates,Hominidae,Pan,Pan_paniscus,55.0
Primates,Cercopithecidae,Macaca,Macaca_nemestrina,37.6
Primates,Lemuridae,Eulemur,Eulemur_macaco,37.5
Primates,,,Chlorocebus_sabaeus,13.0
Primates,Cercopithecidae,Mandrillus,Mandrillus_leucophaeus,39.0
Primates,Atelidae,Alouatta,Alouatta_palliata,24.0
Primates,Cheirogaleidae,Cheirogaleus,Cheirogaleus_medius,29.0
Primates,Lemuridae,Prolemur,Prolemur_simus,17.6
Primates,,,Mirza_zaza,Unknown
Primates,,,Pongo_abelii,58.0
Primates,Cercopithecidae,Pygathrix,Pygathrix_nemaeus,26.0
Primates,Cheirogaleidae,Mirza,Mirza_coquereli,17.4
Primates,Daubentoniidae,Daubentonia,Daubentonia_madagascariensis,32.3
Primates,Lemuridae,Eulemur,Eulemur_fulvus,35.5
Primates,,,Eulemur_flavifrons,Unknown
Primates,Cheirogaleidae,Microcebus,Microcebus_murinus,18.2
Primates,,,Piliocolobus_tephrosceles,Unknown
Primates,Cebidae,Cebus,Cebus_albifrons,40.4
Primates,Hominidae,Pongo,Pongo_pygmaeus,59.0
Primates,Tarsiidae,Carlito,Carlito_syrichta,16.0
Primates,Cebidae,Sapajus,Sapajus_apella,46.0
Primates,,,Microcebus_tavaratra,Unknown
Primates,Cebidae,Cebus,Cebus_capucinus,54.0
Primates,Lemuridae,Eulemur,Eulemur_mongoz,36.2
Primates,Cercopithecidae,Erythrocebus,Erythrocebus_patas,30.0
Primates,Galagidae,Otolemur,Otolemur_garnettii,20.0
Primates,,,Callithrix_pygmaea,18.6
Primates,,,Propithecus_coquereli,30.0
Primates,Hylobatidae,Nomascus,Nomascus_leucogenys,44.1
Primates,,,Papio_anubis,Unknown
Primates,Cercopithecidae,Trachypithecus,Trachypithecus_francoisi,26.3
Primates,Cercopithecidae,Macaca,Macaca_mulatta,30.0
Primates,Callitrichidae,Saguinus,Saguinus_imperator,23.7
Primates,,,Microcebus_sp.,Unknown
Primates,Cercopithecidae,Rhinopithecus,Rhinopithecus_roxellana,29.5
Primates,,,Indri_indri,Unknown
Primates,Cercopithecidae,Nasalis,Nasalis_larvatus,25.1
Primates,Hylobatidae,Hylobates,Hylobates_moloch,45.0
Primates,Cercopithecidae,Colobus,Colobus_angolensis,35.3
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_mona,30.0
Primates,Atelidae,Ateles,Ateles_geoffroyi,47.1
Primates,Cercopithecidae,Macaca,Macaca_fascicularis,39.0
Primates,Cercopithecidae,Macaca,Macaca_fuscata,38.5
Primates,Cercopithecidae,Semnopithecus,Semnopithecus_entellus,29.0
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_neglectus,30.8
Primates,Cercopithecidae,Theropithecus,Theropithecus_gelada,36.0
Primates,Hylobatidae,Symphalangus,Symphalangus_syndactylus,43.0
Metatheria,Didelphidae,Gracilinanus,Gracilinanus_agilis,6.1
Metatheria,Petauridae,Gymnobelideus,Gymnobelideus_leadbeateri,14.1
Metatheria,Phalangeridae,Trichosurus,Trichosurus_vulpecula,15.9
Metatheria,Vombatidae,Vombatus,Vombatus_ursinus,30.0
Metatheria,,,Pseudochirops_corinnae,Unknown
Metatheria,Phalangeridae,Phalanger,Phalanger_gymnotis,18.9
Metatheria,,,Pseudochirops_cupreus,Unknown
Metatheria,,,Notamacropus_eugenii,Unknown
