order,family,genus,species,max lifespan
Chiroptera,,,Lasiurus_borealis,Unknown
Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus_pipistrellus,Unknown
Chiroptera,,,Hipposideros_armiger,Unknown
Chiroptera,,,Craseonycteris_thonglongyai,Unknown
Chiroptera,Molossidae,Tadarida,Tadarida_brasiliensis,12.0
Chiroptera,Noctilionidae,Noctilio,Noctilio_leporinus,11.8
Chiroptera,Phyllostomidae,Macrotus,Macrotus_californicus,17.0
Chiroptera,,,Sturnira_hondurensis,Unknown
Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus_discolor,9.0
Chiroptera,Pteropodidae,Rousettus,Rousettus_leschenaultii,14.0
Chiroptera,,,Rhinolophus_sinicus,Unknown
Chiroptera,Pteropodidae,Pteropus,Pteropus_alecto,20.3
Chiroptera,,,Murina_aurata,Unknown
Chiroptera,Vespertilionidae,Myotis,Myotis_brandtii,41.0
Eulipotyphla,Solenodontidae,Solenodon,Solenodon_paradoxus,12.1
Eulipotyphla,Erinaceidae,Erinaceus,Erinaceus_europaeus,11.7
Eulipotyphla,Soricidae,Suncus,Suncus_etruscus,3.2
Eulipotyphla,Talpidae,Condylura,Condylura_cristata,2.5
Eulipotyphla,Soricidae,Sorex,Sorex_araneus,3.2
Eulipotyphla,,,Talpa_occidentalis,Unknown
Eulipotyphla,,,Uropsilus_gracilis,Unknown
Eulipotyphla,Talpidae,Scalopus,Scalopus_aquaticus,6.2
